"","names","interval","lower","upper"
"144","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"145","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"146","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"147","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"148","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"149","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"150","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"151","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"152","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"153","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"154","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"155","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"156","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"157","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"158","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"159","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"160","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"161","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"162","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"163","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"164","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"165","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"166","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"167","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"168","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"169","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"170","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"171","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"172","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"173","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"174","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"175","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"176","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"177","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"178","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"179","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"180","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"181","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"182","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"183","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"184","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"185","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"186","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"187","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"188","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"189","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"190","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"191","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"192","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"193","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"194","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"195","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"196","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"197","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"198","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"199","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"200","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"201","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"202","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"203","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"204","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"205","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"206","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"207","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"208","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"209","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"210","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
